Date,Price,Open,High,Low,Vol.,Change %,date
2014-11-16,89.2,90.99,94.12,87.97,30.16M,-2.85%,2014-11-16
2014-11-23,91.54,89.49,93.63,87.94,36.75M,2.62%,2014-11-23
2014-11-30,88.0,91.22,91.87,86.44,30.47M,-3.87%,2014-11-30
2014-12-07,79.56,87.93,88.68,77.85,45.64M,-9.59%,2014-12-07
2014-12-14,81.58,78.28,82.61,75.98,56.38M,2.54%,2014-12-14
2014-12-21,82.06,81.8,84.75,80.63,33.65M,0.59%,2014-12-21
2014-12-28,83.36,82.29,84.38,81.47,23.17M,1.58%,2014-12-28
2015-01-04,81.62,83.13,84.53,78.28,52.33M,-2.09%,2015-01-04
2015-01-11,79.68,81.56,81.65,78.03,44.05M,-2.38%,2015-01-11
2015-01-18,79.3,78.98,83.68,78.82,52.77M,-0.48%,2015-01-18
2015-01-25,79.31,79.39,80.16,77.36,39.14M,0.01%,2015-01-25
2015-02-01,78.66,79.35,83.05,76.5,41.17M,-0.82%,2015-02-01
2015-02-08,75.79,73.31,80.4,73.31,45.56M,-3.65%,2015-02-08
2015-02-15,76.69,76.13,77.72,75.4,18.49M,1.19%,2015-02-15
2015-02-22,76.26,76.68,77.48,73.91,43.81M,-0.56%,2015-02-22
2015-03-01,75.54,77.44,77.81,74.55,28.34M,-0.94%,2015-03-01
2015-03-08,72.61,75.35,75.35,70.54,29.67M,-3.88%,2015-03-08
2015-03-15,70.79,72.38,74.14,70.33,47.45M,-2.51%,2015-03-15
2015-03-22,71.11,71.36,73.58,69.78,44.11M,0.45%,2015-03-22
2015-03-29,72.15,71.06,73.13,70.11,25.14M,1.46%,2015-03-29
2015-04-05,74.84,72.55,77.77,71.53,28.36M,3.73%,2015-04-05
2015-04-12,72.91,74.32,75.56,72.13,29.69M,-2.58%,2015-04-12
2015-04-19,69.03,73.01,73.65,68.71,24.91M,-5.32%,2015-04-19
2015-04-26,67.56,69.28,69.45,66.25,24.73M,-2.13%,2015-04-26
2015-05-03,69.21,67.88,70.21,67.0,23.63M,2.44%,2015-05-03
2015-05-10,71.28,69.59,75.19,68.08,30.14M,2.99%,2015-05-10
2015-05-17,74.46,71.58,74.95,71.35,19.68M,4.46%,2015-05-17
2015-05-24,72.91,74.06,74.8,69.38,55.06M,-2.08%,2015-05-24
2015-05-31,72.4,73.12,74.63,69.23,26.24M,-0.70%,2015-05-31
2015-06-07,74.28,72.56,75.0,70.88,35.26M,2.60%,2015-06-07
2015-06-14,74.26,74.06,76.12,73.48,22.10M,-0.03%,2015-06-14
2015-06-21,74.91,74.42,78.36,73.36,29.90M,0.88%,2015-06-21
2015-06-28,72.23,74.25,75.23,71.84,27.08M,-3.58%,2015-06-28
2015-07-05,67.67,71.58,73.07,67.15,20.62M,-6.31%,2015-07-05
2015-07-12,69.71,68.03,70.97,67.82,24.37M,3.01%,2015-07-12
2015-07-19,67.71,69.71,70.69,66.96,29.15M,-2.87%,2015-07-19
2015-07-26,66.55,67.5,67.56,64.33,41.60M,-1.71%,2015-07-26
2015-08-02,64.1,66.56,66.66,63.85,50.74M,-3.68%,2015-08-02
2015-08-09,63.22,64.58,64.93,61.31,35.84M,-1.37%,2015-08-09
2015-08-16,58.38,63.22,65.07,57.28,26.77M,-7.66%,2015-08-16
2015-08-23,54.2,57.19,58.51,48.76,78.46M,-7.16%,2015-08-23
2015-08-30,52.66,54.0,56.37,51.76,52.34M,-2.84%,2015-08-30
2015-09-06,53.47,52.79,55.88,51.0,39.57M,1.54%,2015-09-06
2015-09-13,53.86,53.6,55.36,53.27,24.70M,0.73%,2015-09-13
2015-09-20,55.27,53.79,56.79,53.12,16.73M,2.62%,2015-09-20
2015-09-27,54.98,55.25,58.43,53.34,16.43M,-0.52%,2015-09-27
2015-10-04,58.43,56.06,59.18,54.79,14.64M,6.28%,2015-10-04
2015-10-11,60.94,58.13,61.28,57.79,19.15M,4.30%,2015-10-11
2015-10-18,61.17,61.11,61.88,59.26,15.20M,0.38%,2015-10-18
2015-10-25,57.83,61.13,62.18,57.28,36.79M,-5.46%,2015-10-25
2015-11-01,54.03,58.13,59.13,53.5,27.60M,-6.57%,2015-11-01
2015-11-08,52.88,53.04,54.38,51.78,13.66M,-2.13%,2015-11-08
2015-11-15,65.54,52.78,67.48,51.95,79.65M,23.94%,2015-11-15
2015-11-22,69.07,65.59,69.53,64.5,72.30M,5.39%,2015-11-22
2015-11-29,66.76,68.45,69.38,65.88,39.33M,-3.34%,2015-11-29
2015-12-06,63.51,66.84,68.03,62.57,41.43M,-4.87%,2015-12-06
2015-12-13,63.68,62.95,67.41,62.8,41.56M,0.27%,2015-12-13
2015-12-20,67.91,63.68,68.25,62.55,34.79M,6.64%,2015-12-20
2015-12-27,69.33,68.08,70.86,67.44,49.75M,2.09%,2015-12-27
2016-01-03,69.98,69.33,71.44,67.23,41.20M,0.94%,2016-01-03
2016-01-10,62.97,69.69,70.28,62.55,32.71M,-10.02%,2016-01-10
2016-01-17,68.8,62.81,69.94,61.71,37.68M,9.26%,2016-01-17
2016-01-24,69.11,69.23,69.84,65.67,47.67M,0.45%,2016-01-24
2016-01-31,64.23,69.0,69.98,63.47,36.57M,-7.06%,2016-01-31
2016-02-07,60.93,63.69,66.69,59.03,55.01M,-5.14%,2016-02-07
2016-02-14,61.1,61.39,63.53,57.72,32.63M,0.28%,2016-02-14
2016-02-21,57.02,60.94,61.87,55.86,36.19M,-6.68%,2016-02-21
2016-02-28,63.94,57.02,65.41,54.43,50.91M,12.14%,2016-02-28
2016-03-06,63.65,63.38,66.83,63.1,24.79M,-0.45%,2016-03-06
2016-03-13,68.32,63.99,68.78,62.3,48.23M,7.34%,2016-03-13
2016-03-20,66.77,68.84,69.09,66.52,16.80M,-2.27%,2016-03-20
2016-03-27,65.19,66.75,67.88,64.74,44.66M,-2.37%,2016-03-27
2016-04-03,65.13,65.7,66.0,62.79,26.81M,-0.09%,2016-04-03
2016-04-10,69.29,65.62,69.85,64.42,22.50M,6.39%,2016-04-10
2016-04-17,68.76,68.52,70.2,67.05,29.46M,-0.76%,2016-04-17
2016-04-24,67.57,69.19,70.63,66.34,37.67M,-1.73%,2016-04-24
2016-05-01,71.97,67.5,72.54,66.85,40.93M,6.51%,2016-05-01
2016-05-08,71.18,72.55,73.99,70.37,32.17M,-1.10%,2016-05-08
2016-05-15,69.67,71.27,72.75,69.38,26.49M,-2.12%,2016-05-15
2016-05-22,71.12,70.25,73.1,68.57,43.70M,2.08%,2016-05-22
2016-05-29,69.42,71.71,72.15,68.65,74.59M,-2.39%,2016-05-29
2016-06-05,69.18,69.05,71.36,68.78,33.85M,-0.35%,2016-06-05
2016-06-12,72.61,68.52,72.77,68.26,48.94M,4.96%,2016-06-12
2016-06-19,70.72,72.61,73.52,67.8,34.53M,-2.60%,2016-06-19
2016-06-26,74.13,70.66,74.41,70.14,41.05M,4.82%,2016-06-26
2016-07-03,70.41,74.63,75.51,70.23,40.64M,-5.02%,2016-07-03
2016-07-10,73.83,71.11,74.81,70.6,52.15M,4.86%,2016-07-10
2016-07-17,74.02,73.69,75.53,71.32,26.74M,0.26%,2016-07-17
2016-07-24,71.58,74.27,74.72,71.3,37.43M,-3.30%,2016-07-24
2016-07-31,71.73,71.63,72.47,69.47,29.89M,0.21%,2016-07-31
2016-08-07,70.15,71.7,72.62,69.3,21.80M,-2.20%,2016-08-07
2016-08-14,68.22,70.08,70.6,67.92,38.00M,-2.75%,2016-08-14
2016-08-21,70.99,68.38,72.19,68.03,85.29M,4.06%,2016-08-21
2016-08-28,74.2,71.42,74.34,70.4,43.77M,4.52%,2016-08-28
2016-09-04,74.06,74.37,76.44,72.25,75.87M,-0.19%,2016-09-04
2016-09-11,72.83,73.01,74.16,71.89,39.09M,-1.66%,2016-09-11
2016-09-18,72.39,72.86,73.88,72.06,55.25M,-0.60%,2016-09-18
2016-09-25,70.25,72.01,72.56,67.08,62.29M,-2.96%,2016-09-25
2016-10-02,77.63,69.93,78.71,69.67,106.17M,10.51%,2016-10-02
2016-10-09,80.7,78.0,81.14,76.88,46.55M,3.95%,2016-10-09
2016-10-16,82.49,81.54,84.18,79.63,70.52M,2.22%,2016-10-16
2016-10-23,81.26,83.14,84.56,80.42,48.06M,-1.49%,2016-10-23
2016-10-30,79.5,81.15,82.88,78.62,44.51M,-2.17%,2016-10-30
2016-11-06,82.17,79.82,85.5,78.38,51.27M,3.36%,2016-11-06
2016-11-13,80.06,83.06,83.78,78.86,39.06M,-2.57%,2016-11-13
2016-11-20,78.23,80.63,81.28,75.19,47.07M,-2.29%,2016-11-20
2016-11-27,81.17,78.04,83.51,77.53,73.39M,3.76%,2016-11-27
2016-12-04,80.5,80.95,81.88,79.52,34.57M,-0.83%,2016-12-04
2016-12-11,77.83,80.2,80.67,77.0,33.93M,-3.32%,2016-12-11
2016-12-18,80.92,77.63,81.38,77.44,40.62M,3.97%,2016-12-18
2016-12-25,82.35,80.63,83.06,78.47,61.96M,1.77%,2016-12-25
2017-01-01,82.98,82.5,84.52,81.38,46.11M,0.77%,2017-01-01
2017-01-08,84.8,83.16,85.31,81.55,63.04M,2.19%,2017-01-08
2017-01-15,86.27,84.94,88.34,81.79,95.31M,1.73%,2017-01-15
2017-01-22,90.38,86.34,92.59,86.33,80.33M,4.76%,2017-01-22
2017-01-29,89.76,90.56,91.5,86.93,101.98M,-0.69%,2017-01-29
2017-02-05,90.63,89.94,92.69,88.6,48.74M,0.97%,2017-02-05
2017-02-12,95.66,91.69,96.19,89.16,79.76M,5.55%,2017-02-12
2017-02-19,97.04,95.86,99.53,95.66,91.63M,1.44%,2017-02-19
2017-02-26,97.55,97.63,98.66,93.56,106.44M,0.53%,2017-02-26
2017-03-05,94.56,98.43,100.15,92.28,262.02M,-3.07%,2017-03-05
2017-03-12,93.79,96.34,96.96,93.2,93.35M,-0.81%,2017-03-12
2017-03-19,95.33,93.45,95.75,91.66,66.55M,1.64%,2017-03-19
2017-03-26,94.24,95.7,96.74,92.9,110.75M,-1.14%,2017-03-26
2017-04-02,96.66,94.25,98.0,94.25,51.16M,2.57%,2017-04-02
2017-04-09,94.93,96.78,97.25,94.25,33.36M,-1.79%,2017-04-09
2017-04-16,99.88,95.03,103.0,95.03,86.62M,5.21%,2017-04-16
2017-04-23,105.99,100.25,106.13,99.79,70.34M,6.12%,2017-04-23
2017-04-30,104.7,106.0,108.43,103.41,40.11M,-1.22%,2017-04-30
2017-05-07,102.3,105.2,105.75,100.0,35.05M,-2.29%,2017-05-07
2017-05-14,100.26,103.26,104.0,99.0,41.98M,-1.99%,2017-05-14
2017-05-21,100.44,101.08,101.08,91.38,104.56M,0.18%,2017-05-21
2017-05-28,100.59,100.0,104.45,98.79,64.82M,0.15%,2017-05-28
2017-06-04,95.29,100.53,102.18,94.61,50.26M,-5.27%,2017-06-04
2017-06-11,94.59,95.25,96.81,93.25,61.28M,-0.73%,2017-06-11
2017-06-18,88.54,94.84,95.85,87.75,61.07M,-6.40%,2017-06-18
2017-06-25,90.36,89.0,91.88,86.66,45.58M,2.06%,2017-06-25
2017-07-02,89.74,90.5,92.24,88.88,32.14M,-0.69%,2017-07-02
2017-07-09,97.59,92.25,98.33,89.5,50.74M,8.75%,2017-07-09
2017-07-16,94.25,97.0,97.61,93.74,54.59M,-3.42%,2017-07-16
2017-07-23,94.99,94.6,96.56,93.05,63.01M,0.79%,2017-07-23
2017-07-30,94.44,95.36,96.5,92.03,38.41M,-0.58%,2017-07-30
